# version=2025NOV01

Rom;Genre;Year;Manufacturer;System;Clone;AKNF;Buttons;Controls;Mature;Players;Monitor;Slow;Notes
knckhedj;;1992;Namco;Namco NA-1;yes;;3;joystick (8-way);;4P sim;CRT 15Khz;;
kncljoe;Platform / Fighter;1985;[Seibu Kaihatsu] (Taito license);Seibu Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kncljoea;Platform / Fighter;1985;[Seibu Kaihatsu] (Taito license);Seibu Z80;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kngtmare;Maze / Fighter;1983;Gottlieb;Gottlieb 6502;no;;2;double joystick (2-way);;2P alt;CRT 15Khz;;
knightb;Shooter / Walking;1986;bootleg;Taito 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
knights;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;no;true;2;joystick (8-way);;3P sim;CRT 15Khz;;
knightsc;;2014;Neobitz;SNK Neo Geo;no;;4;joystick (8-way);;;;;
knightsj;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;3P sim;CRT 15Khz;;
knightsu;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;3P sim;CRT 15Khz;;
knockout;Maze / Outline;1982;KKK;Konami Scramble;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
knpuzzle;Puzzle / Misc.;2001;Namco;Namco System 10;no;;6;joystick (8-way);;2P sim;CRT 31Khz;;
kod;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;no;true;2;joystick (8-way);;3P sim;CRT 15Khz;;
kodb;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;3P sim;CRT 15Khz;;
kodj;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;3P sim;CRT 15Khz;;
kodu;Fighter / 2.5D;1991;Capcom;Capcom CPS-1;yes;;2;joystick (8-way);;3P sim;CRT 15Khz;;
kodure;;1987;Nichibutsu;Nichibutsu 68000;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
kof10th;Fighter / Versus;2002;bootleg;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2000;Fighter / Versus;2000;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2000n;Fighter / Versus;2000;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2001;Fighter / Versus;2001;Eolith / SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2001h;Fighter / Versus;2001;Eolith / SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2002;Fighter / Versus;2002;Eolith / Playmore;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2003;Fighter / Versus;2003;SNK Playmore;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof2k4se;Fighter / Versus;2004;bootleg;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof94;Fighter / Versus;1994;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof95;Fighter / Versus;1995;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof95a;Fighter / Versus;1995;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof96;Fighter / Versus;1996;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof96h;Fighter / Versus;1996;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof97;Fighter / Versus;1997;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof97a;;1997;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof97pls;Fighter / Versus;1997;bootleg;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof98;Fighter / Versus;1998;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof98k;Fighter / Versus;1998;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof98n;;1998;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof99;Fighter / Versus;1999;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof99a;;1999;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof99e;Fighter / Versus;1999;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof99n;;1999;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kof99p;Fighter / Versus;1999;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kog;Fighter / Versus;1997;bootleg;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
koikois2;Tabletop / Hanafuda * Mature *;1997;Visco;SSV;no;;3;joystick (8-way);;1P;CRT 15Khz;;
koinomp;Tabletop / Mahjong * Mature *;1992;Nichibutsu;Nichibutsu Mahjong;no;;;;;1P;CRT 15Khz;;
konami88;Sports / Track & Field;1988;Konami;Konami;yes;;4;;;4P alt / 2P sim;CRT 15Khz;;
konamigt;Driving / Race 1st Person;1985;Konami;Konami;no;;3;dial;;1P;CRT 15Khz;;
konamigv;System / BIOS;1995;Konami;Konami GV;no;;;;;BIOS;CRT 31Khz;;
konamigx;System / BIOS;1994;Konami;Konami GX;no;;;;;BIOS;CRT 15Khz;;
kopunch;Electromechanical / Misc.;1981;Sega;Sega System 1;no;;4;joystick (4-way);;???;CRT 15Khz;;
korinai;Tabletop / Mahjong * Mature *;1988;Nichibutsu;Nichibutsu Mahjong;no;;;;;1P;CRT 15Khz;;
korinaim;Tabletop / Mahjong * Mature *;1988;Nichibutsu;Nichibutsu Mahjong;yes;;;;;1P;CRT 15Khz;;
korokoro;Misc. / Versus;1999;Takumi;Atlus 68000;no;;2;;;1P;CRT 15Khz;;
korosuke;Maze / Paint;1981;Kural Electric;Namco Pac-Man;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
koshien;Sports / Baseball;1990;Taito Corporation;Taito F2 System;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
kosmokil;Shooter / Gallery;;bootleg;Stern/Zaccaria 8080;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
kothello;Tabletop / Othello - Reversi;1990;Success;Sun Electronics Z80;no;;;;;1P;CRT 15Khz;;
kotm;Fighter / Versus;1991;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kotm2;Fighter / Versus;1992;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
kotmh;Fighter / Versus;1991;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
kouyakyu;Sports / Baseball;1985;Alpha Denshi Co.;Alpha Denshi 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
kov;Fighter / 2.5D;1999;IGS;IGS PGM;no;true;4;joystick (8-way);;4P sim;CRT 15Khz;;
kov115;Fighter / 2.5D;1999;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kov2;Fighter / 2.5D;2000;IGS;IGS PGM;no;true;4;joystick (8-way);;4P sim;CRT 15Khz;;
kov2106;Fighter / 2.5D;2000;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kov2p;Fighter / 2.5D;2000;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kovj;;1999;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kovplus;Fighter / 2.5D;1999;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kovplusa;Fighter / 2.5D;1999;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kovsh;Fighter / 2.5D;1999;IGS;IGS PGM;yes;;4;joystick (8-way);;4P sim;CRT 15Khz;;
kram;Maze / Collect;1982;Taito America Corporation;Taito Qix;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
kram2;;1982;Taito America Corporation;Taito Qix;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kram3;;1982;Taito America Corporation;Taito Qix;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kroozr;Shooter / Field;1982;Bally Midway;Midway MCR-1/2;no;true;2;dial;;2P alt;CRT 31Khz;;
krull;Shooter / Field;1983;Gottlieb;Gottlieb 6502;no;true;;double joystick (8-way);;2P alt;CRT 15Khz;;
krzybowl;Sports / Bowling;1994;American Sammy;Seta 1st Gen;no;;3;trackball;;4P alt;CRT 15Khz;;
ksayakyu;Sports / Baseball;1985;Taito Corporation;Taito 8-bit;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ktiger;Shooter / Flying Vertical;1987;[Toaplan] Taito Corporation;Toaplan 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ktiger2;Shooter / Flying Vertical;1995;Taito Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
kuhga;Shooter / Flying Vertical;1989;Data East Corporation;Data East 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
kungfub;Fighter / 2D;1984;bootleg;Irem M62;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
kungfub2;Fighter / 2D;1984;bootleg;Irem M62;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
kungfud;;1984;Irem (Data East license);Irem M62;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
kungfum;Fighter / 2D;1984;Irem;Irem M62;no;true;2;joystick (4-way);;2P alt;CRT 15Khz;;
kungfut;Platform / Fighter;1984;Seibu Kaihatsu Inc.;Seibu 68000;no;;3;joystick (2-way);;2P sim;CRT 15Khz;;
kungfuta;Platform / Fighter;1984;Seibu Kaihatsu Inc.;Seibu 68000;yes;;3;joystick (2-way);;2P sim;CRT 15Khz;;
kuniokub;;1986;bootleg;Technos 68000;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
kuniokun;Fighter / 2.5D;1986;Technos;Technos 68000;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
kurikina;;1988;Taito Corporation Japan;Taito L-System;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kurikinj;;1988;Taito Corporation;Taito L-System;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kurikint;Platform / Fighter Scrolling;1988;Taito Corporation Japan;Taito L-System;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kurikinu;;1988;Taito America Corporation;Taito L-System;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kyros;Fighter / Vertical;1987;World Games Inc;Alpha Denshi 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kyrosj;Fighter / Vertical;1986;Alpha Denshi Co.;Alpha Denshi 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
kyuhito;Tabletop / Mahjong * Mature *;1988;ROLLER TRON;Nichibutsu Mahjong;yes;;;;;1P;CRT 15Khz;;
kyukaidk;Sports / Baseball;1990;Namco;Namco System 2;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
kyukaido;;1990;Namco;Namco System 2;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
kyustrkr;Sports / Soccer;1989;East Technology;Taito X-System;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
labyrunk;;1987;Konami;Konami;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
labyrunr;Shooter / Walking;1987;Konami;Konami;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ladybgb2;;1981;bootleg;Universal Z80;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
ladybug;Maze / Collect;1981;Universal;Universal Z80;no;true;2;joystick (4-way);;2P alt;CRT 15Khz;;
ladybugb;Maze / Collect;1981;bootleg;Universal Z80;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
ladybugg;Maze / Collect;1983;bootleg;Galaxian Z80;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
ladyfrog;Maze / Cross;1990;Mondial Games;Custom Z80;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
ladygolf;Sports / Golf;1984;Nintendo;Nintendo VS. System;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ladykill;Puzzle / Outline * Mature *;;Yanyaka (Mitchell license);Metro 68000;no;;2;joystick (8-way);;1P;CRT 15Khz;;
lagunar;Driving / Race;1977;Midway;Midway 8080 B/W;no;;2;paddle;;1P;CRT 15Khz;;
landbrk;Puzzle / Outline * Mature *;1999;Eolith;Eolith 32-bit;no;;2;joystick (8-way);;1P;CRT 15Khz;;
landbrka;Puzzle / Outline * Mature *;1999;Eolith;Eolith 32-bit;yes;;2;joystick (8-way);;1P;CRT 15Khz;;
landgear;Driving / Plane;1995;Taito;Taito JC;no;;;;;1P;CRT 31Khz;;
landmakr;Puzzle / Toss;1998;Taito Corporation;Taito F3 System;no;;4;dial;;2P sim;CRT 15Khz;YES;
landmkrp;;1998;Taito Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
lans2004;Shooter / Walking;1998;bootleg;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
laser;Shooter / Gallery;1980;unknown;Midway 8080 B/W;yes;;1;joystick (2-way);;2P sim;CRT 15Khz;;
laserbas;Shooter / Gallery;1981;Amstar/HOEI;Custom Z80;no;;;;;2P alt;CRT 15Khz;;
laserbat;Shooter / Field;1981;Zaccaria;Zaccaria 2650;no;;4;joystick (8-way);;2P alt;CRT 15Khz;;
laserbsa;;1981;Amstar/HOEI;Custom Z80;yes;;;;;???;CRT 15Khz;;
lasso;Shooter / Misc.;1982;SNK;SNK early 8-bit;no;;2;joystick (4-way);;2P alt;CRT 15Khz;;
lastblad;Fighter / Versus;1997;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
lastbld2;Fighter / Versus;1998;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
lastblda;;1997;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
lastbrnj;;1996;Sega;Sega Model 2;yes;;4;joystick (8-way);;???;CRT 25Khz;;
lastbrnx;Fighter / Versus;1996;Sega;Sega Model 2;no;;4;joystick (8-way);;???;CRT 25Khz;;
lastday;Shooter / Flying Vertical;1990;Dooyong;Dooyong 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
lastdaya;Shooter / Flying Vertical;1990;Dooyong;Dooyong 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
lastduel;Shooter / Driving Vertical;1988;Capcom;Capcom 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
lastfero;;1994;Metro;Metro 68000;yes;;1;joystick (8-way);;2P alt;CRT 15Khz;;
lastfght;Maze / Collect & Put;2000;Subsino;Subsino 68000;no;;;;;2P sim;CRT 15Khz;;
lastforg;;1994;Metro;Metro 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lastfort;Tabletop / Shanghai;1994;Metro;Metro 68000;no;;1;joystick (8-way);;2P alt;CRT 15Khz;;
lasthope;Shooter / Flying Horizontal;2005;NG:DEV.TEAM;SNK Neo Geo;no;;4;joystick (8-way);;1P;CRT 15Khz;;
lastmisn;Shooter / Field;1986;Data East USA;Data East 8-bit;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
lastmsnj;;1986;Data East Corporation;Data East 8-bit;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
lastmsno;;1986;Data East USA;Data East 8-bit;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
lastsold;Fighter / Versus;1997;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
lazarian;Shooter / Field;1981;Bally Midway (Zaccaria License);Zaccaria 2650;yes;;4;joystick (8-way);;2P alt;CRT 15Khz;;
lazercmd;Maze / Shooter Small;1976;Meadows Games, Inc.;Meadows discrete;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
lbgrande;Sports / Soccer;1997;Namco;Namco System 12;no;;6;joystick (8-way);;1P;CRT 31Khz;;
lbowling;Sports / Bowling;1990;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;4P alt / 2P sim;CRT 15Khz;;
lckywldj;;1992;Namco;Namco System 2;yes;;1;dial;;2P sim;CRT 15Khz;;
ldrun;Platform / Run Jump;1984;Irem (licensed from Broderbund);Irem M62;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
ldrun2;Platform / Run Jump;1984;Irem (licensed from Broderbund);Irem M62;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
ldrun3;Platform / Run Jump;1985;Irem (licensed from Broderbund);Irem M62;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
ldrun3jp;;1985;Irem (licensed from Broderbund);Irem M62;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ldrun4;Platform / Run Jump;1986;Irem (licensed from Broderbund);Irem M62;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
ldruna;Platform / Run Jump;1984;Irem (licensed from Broderbund);Irem M62;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
le2;Shooter / Gun;1994;Konami;Konami GX;no;;3;lightgun;;2P sim;CRT 15Khz;;
le2j;Shooter / Gun;1994;Konami;Konami GX;yes;;3;lightgun;;2P sim;CRT 15Khz;;
le2u;Shooter / Gun;1994;Konami;Konami GX;yes;;3;lightgun;;2P sim;CRT 15Khz;;
leaguemn;Fighter / 2.5D;1993;Irem;Irem M92;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
leds2011;Driving / Race;1988;Capcom;Capcom 68000;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
ledstorm;Driving / Race;1988;Capcom;Capcom 68000;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
legend;Fighter / 2D;;Sega / Coreland ?;Kyugo Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
legendos;Fighter / Versus;1991;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P alt;CRT 15Khz;;
legendsb;Fighter / 2.5D;1996;bootleg;Nintendo SNES-based;no;;6;joystick (8-way);;2P sim;CRT 15Khz;;
legion;Shooter / Flying Vertical;1987;Nichibutsu;Nichibutsu 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
legionna;Fighter / 2.5D;1992;Tad;Seibu 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
legionnu;;1992;Tad (Fabtek license);Seibu 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
legiono;;1987;Nichibutsu;Nichibutsu 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
legofair;Shooter / Flying Vertical;1988;SNK;SNK early 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lemans24;Driving / Race 1st Person;1997;Sega;Sega Model 3;no;;8;paddle;;???;CRT 25Khz;;
lemmings;Puzzle / Misc.;1991;Data East USA;Data East 68000;no;;2;trackball;;2P sim;CRT 15Khz;;
lemnangl;Tabletop / Mahjong * Mature *;1990;Home Data;Home Data 68000;no;;;;;1P;CRT 15Khz;;
leprechn;Platform / Run Jump;1982;Tong Electronic;GamePlan 6502;no;;;joystick (8-way);;2P alt;CRT 15Khz;;
leprechp;;1982;Tong Electronic;GamePlan 6502;yes;;;joystick (8-way);;2P alt;CRT 15Khz;;
lethalej;;1992;Konami;Konami;yes;;1;lightgun;;???;CRT 15Khz;;
lethalen;Shooter / Gun;1992;Konami;Konami;no;true;1;lightgun;;2P sim;CRT 15Khz;;
lethalj;Shooter / Gun;1996;The Game Room;ICE redemption;no;;1;lightgun;;2P sim;CRT 15Khz;;
lethalth;Shooter / Flying Vertical;1991;Irem;Irem M92;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
levers;Platform / Run Jump;1983;Rock-ola;Galaxian Z80;no;;;joystick (8-way);;2P sim;CRT 15Khz;;
lghost;Shooter / Gun;1990;Sega;Sega System 18;no;;3;lightgun;;3P sim;CRT 15Khz;;
lghostu;Shooter / Gun;1990;Sega;Sega System 18;yes;;3;lightgun;;3P sim;CRT 15Khz;;
lgtnfght;Shooter / Flying Vertical;1990;Konami;Konami;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
lgtnfghu;;1990;Konami;Konami;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
lhb;Tabletop / Mahjong;1995;IGS;IGS Blitter;no;;;;;1P;CRT 15Khz;;
liberat2;;1982;Atari;Atari Vector;yes;;2;trackball;;2P alt;CRT 15Khz;;
liberatb;;1984;bootleg;Data East 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
liberate;Shooter / Flying;1984;Data East Corporation;Data East 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
liberatr;Shooter / Command;1982;Atari;Atari Vector;no;;2;trackball;;2P alt;CRT 15Khz;;
liblrabl;Puzzle / Outline;1983;Namco;Namco Toy Pop hardware;no;true;1;double joystick (8-way);;2P alt;CRT 15Khz;;
lifefrce;Shooter / Flying;1986;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
lifefrcj;;1986;Konami;Konami;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
lightbr;Maze / Fighter;1993;Taito Corporation;Taito F3 System;yes;true;4;dial;;4P sim;CRT 15Khz;;
liquidk;Platform / Fighter Scrolling;1990;Taito Corporation Japan;Taito F2 System;no;true;2;joystick (8-way);;2P alt;CRT 15Khz;;
liquidku;Platform / Fighter Scrolling;1990;Taito America Corporation;Taito F2 System;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lithero;Platform / Fighter Scrolling;1987;bootleg;Irem M62;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
littlerb;Platform / Run Jump;1993;TCH;TCH 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
livegal;Tabletop / Mahjong * Mature *;1987;Central Denshi;Nichibutsu Mahjong;no;;;;;2P sim;CRT 15Khz;;
lizwiz;Shooter / Field;1985;Techstar (Sunn license);Namco Pac-Man;no;;1;joystick (8-way);;2P sim;CRT 15Khz;;
lkage;Fighter / 2D;1984;Taito Corporation;Taito 8-bit;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lkageb;Fighter / 2D;1984;bootleg;Taito 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lkageb2;;1984;bootleg;Taito 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lkageb3;;1984;bootleg;Taito 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
llander;Driving / Landing;1979;Atari;Atari Vector;no;;1;paddle;;1P;;;
llander1;Driving / Landing;1979;Atari;Atari Vector;yes;;1;paddle;;1P;;;
lnc;Maze / Collect;1981;Data East Corporation;Data East 8-bit;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
lockload;Shooter / Gun;1994;Data East Corporation;Data East 32-bit;no;;6;lightgun;;2P sim;CRT 15Khz;;
lockon;Shooter / Flying 1st Person;1986;Tatsumi;Tatsumi 68000;no;;4;joystick (analog);;1P;CRT 15Khz;;
locomotn;Puzzle / Sliding;1982;Konami (Centuri license);Namco Rally-X;no;true;1;joystick (4-way);;2P alt;CRT 15Khz;;
loderdfa;;2000;Psikyo;Psikyo 68000;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
loderndf;Platform / Run Jump;2000;Psikyo;Psikyo 68000;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
loffire;Shooter / Gun;1989;Sega;Sega X-Board;no;true;2;lightgun;;2P sim;CRT 15Khz;;
loffirej;Shooter / Gun;1989;Sega;Sega X-Board;yes;;2;lightgun;;2P sim;CRT 15Khz;;
loffireu;Shooter / Gun;1989;Sega;Sega X-Board;yes;;2;lightgun;;2P sim;CRT 15Khz;;
logger;Platform / Run Jump;1982;Century Electronics;Centuri CVS;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
logicpr2;Puzzle / Misc.;1997;Deniam;Deniam 68000;no;;3;joystick (4-way);;2P sim;CRT 15Khz;;
logicpro;Puzzle / Misc.;1996;Deniam;Deniam 68000;no;;3;joystick (4-way);;2P sim;CRT 15Khz;;
loht;Fighter / 2D;1989;Irem;Irem M72;no;;4;joystick (8-way);;2P alt;CRT 15Khz;;
lomakai;Fighter / 2D;1988;Jaleco;Jaleco Mega System 1;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
looper;Maze / Collect;1982;Orca;Orca Z80;yes;;;joystick (8-way);;2P alt;CRT 15Khz;;
looping;Shooter / Flying;1982;Venture Line;Videogame Z80;no;;2;vertical joystick (2-way);;2P alt;CRT 15Khz;;
loopinga;;1982;Venture Line;Videogame Z80;yes;;2;vertical joystick (2-way);;2P alt;CRT 15Khz;;
looptris;;2021;Blastar;SNK Neo Geo;no;;4;joystick (8-way);;;;;
looptrsp;;2022;Blastar;SNK Neo Geo;yes;;4;joystick (8-way);;;;;
lordgun;Shooter / Gun;1994;IGS;IGS 68000;no;;2;lightgun;;2P sim;CRT 15Khz;;
lordofk;Platform / Fighter Scrolling;1989;Jaleco;Jaleco Mega System 1;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
losttmbh;;1982;Stern;Galaxian Z80;yes;;1;double joystick (8-way);;2P alt;CRT 15Khz;;
losttomb;Maze / Shooter Small;1982;Stern;Galaxian Z80;no;;1;double joystick (8-way);;2P alt;CRT 15Khz;;
lostwrld;Shooter / Flying Horizontal;1988;Capcom;Capcom CPS-1;yes;;1;dial;;2P sim;CRT 15Khz;;
lostwsga;Shooter / Gun;1997;Sega;Sega Model 3;no;;2;lightgun;;???;CRT 25Khz;;
lotlot;Puzzle / Misc.;1985;Irem (licensed from Tokuma Shoten);Irem M62;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lottof2;Gambling / Lottery;1993;HAR;Custom gambling Z80;no;;2;joystick (8-way);;1P;CRT 15Khz;;
lottofun;Gambling / Lottery;1987;H.A.R. Management;Williams arcade hardware;no;;;joystick (8-way);;1P;CRT 15Khz;;
lovehous;Tabletop / Mahjong * Mature *;1990;Nichibutsu;Nichibutsu Mahjong;yes;;;;;1P;CRT 15Khz;;
lrescue;Maze / Shooter Small;1979;Taito;Midway 8080 B/W;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
lresort;Shooter / Flying Horizontal;1992;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
lsasquad;Shooter / Misc. Vertical;1986;Taito;Taito 8-bit;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
lstduela;;1988;Capcom;Capcom 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
lstduelb;;1988;bootleg;Capcom 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
ltcasin2;Gambling / Multiplay;1984;Digital Controls Inc.;Custom gambling Z80;no;;8;;;2P alt;CRT 15Khz;;
ltcasino;Gambling / Multiplay;1982;Digital Controls Inc.;Custom gambling Z80;no;;8;;;2P alt;CRT 15Khz;;
lucky8;Slot Machine / Video Slot * Mature *;1989;Falcon;IGS gambling 68000;no;;4;;;1P;CRT 15Khz;;
